operacao,categoria,status,valor,nome
PIX,MERCADO,PENDENTE,3124.4021026575865,Leonardo Fogaça
TED,MERCADO,CONCLUIDA,936.1199650327778,Giovanna Brito
PIX,LAZER,CONCLUIDA,9177.546995936322,João Vitor Azevedo
TED,MERCADO,CONCLUIDA,982.90171538326,Maria Fernanda Fonseca
PIX,MERCADO,CONCLUIDA,5812.509527136424,Augusto Pimenta
TED,CONTAS,CONCLUIDA,6802.430609286097,Alexandre Peixoto
PIX,LAZER,CONCLUIDA,151.8067940965241,Calebe Mendes
DOC,LAZER,CONCLUIDA,9843.354900536522,Sr. Davi Miguel Caldeira
PIX,LAZER,CONCLUIDA,4495.3221377899135,Alice Camargo
DOC,MERCADO,CONCLUIDA,6680.655663766174,Lucca Casa Grande
DOC,CONTAS,CONCLUIDA,3851.5736357721817,Guilherme Farias
PIX,CONTAS,CONCLUIDA,2639.948393328881,Ana Laura da Luz
TED,CONTAS,CONCLUIDA,5053.742030004283,João Miguel da Cunha
PIX,MERCADO,CONCLUIDA,3074.0925841833077,Bento Moreira
TED,LAZER,CONCLUIDA,5827.452388505916,Luiz Fernando Pastor
PIX,MERCADO,CONCLUIDA,3193.6408063079293,João Miguel Barros
PIX,MERCADO,CONCLUIDA,4881.743695704603,Ana Vitória Gomes
PIX,LAZER,CONCLUIDA,2792.3727261495033,Antonella Montenegro
TED,LAZER,CONCLUIDA,9067.25392934016,Thiago Carvalho
PIX,MERCADO,CONCLUIDA,3473.456662060433,Júlia Castro
PIX,LAZER,CONCLUIDA,448.9236956633151,Maria Isis da Cruz
PIX,MERCADO,CONCLUIDA,4028.279222081518,Dr. Leonardo da Mata
PIX,CONTAS,CONCLUIDA,9725.052441909522,Srta. Sophie Brito
DOC,LAZER,CONCLUIDA,5787.225938257175,Lorenzo Nogueira
TED,CONTAS,CONCLUIDA,1249.9825128652728,Fernando Viana
TED,LAZER,CONCLUIDA,4507.872272348003,Maria Fernanda Rodrigues
TED,CONTAS,CONCLUIDA,8539.3222352936,Isabel Rios
DOC,CONTAS,CONCLUIDA,8844.142408056425,Henry Jesus
DOC,MERCADO,CONCLUIDA,3324.613605716322,Vitória Fernandes
DOC,LAZER,CONCLUIDA,8850.43494253814,Benicio Sousa
DOC,CONTAS,CONCLUIDA,1509.07465893314,Sabrina Moraes
TED,LAZER,CONCLUIDA,2576.63255002372,Yan Sales
PIX,CONTAS,CONCLUIDA,2704.1853485579327,Ravi Marques
DOC,CONTAS,CONCLUIDA,9717.650646265252,Breno Borges
PIX,LAZER,CONCLUIDA,382.87420891300883,Sr. Levi Sá
PIX,CONTAS,CONCLUIDA,5200.379575388828,Rafaela Cavalcanti
DOC,LAZER,CONCLUIDA,5448.386426041518,Ísis Caldeira
PIX,LAZER,CONCLUIDA,6901.43500340295,Stephany Fogaça
TED,LAZER,CONCLUIDA,1085.0898720358164,Catarina Pimenta
DOC,LAZER,CONCLUIDA,1023.0019852792661,Jade Mendonça
TED,LAZER,CONCLUIDA,4007.748740457928,Anna Liz Pinto
TED,CONTAS,CONCLUIDA,9984.74392278114,Erick Castro
PIX,CONTAS,FALHA,5575.886273805809,Isaac Cirino
DOC,LAZER,CONCLUIDA,7655.575891867239,Alice Alves
PIX,LAZER,CONCLUIDA,8054.133978742593,Davi Luiz Casa Grande
PIX,MERCADO,CONCLUIDA,6165.291087872479,Thomas da Conceição
